[-159.47516652]
[-52.67729351]
[-44.60162083]
[-144.23231744]
[-144.23231744]
[-57.87570631]
[-180.88508447]
[-39.40320804]
[-13.96511296]
[-144.23231744]
[46.95340309]
[-73.11855538]
[-44.60162083]
[-37.18502073]
[-76.05597506]
[-52.67729351]
[-214.39885223]
[-50.61787999]
[-52.67729351]
[-60.09389362]
[52.15181589]
[90.86399644]
[-52.67729351]
[-110.71854968]
[-13.96511296]
[-39.40320804]
[-180.88508447]
[-52.67729351]
[46.95340309]
[-144.23231744]
[85.66558365]
[-31.98660794]
[-86.408175]
[-186.08349726]
[-57.6262826]
[-23.91093525]
[-31.98660794]
[-52.67729351]
[-31.5059181]
[-96.58788686]
[-105.52013689]
[-52.67729351]
[-89.54717426]
[-170.59122447]
[-42.38343352]
[-37.18502073]
[-91.60658779]
[-57.87570631]
[-37.18502073]
[-91.60658779]
[-52.67729351]
[-52.67729351]
[-10.1406258]
[-57.87570631]
[-52.67729351]
[-144.23231744]
[-37.18502073]
[-52.67729351]
[-186.08349726]
[-86.19106128]
[-91.60658779]
[-105.52013689]
[-52.67729351]
[-52.67729351]
[-76.05597506]
[-79.03620055]
[-37.18502073]
[-81.25438786]
[-52.67729351]
[20.48034793]
[-149.43073023]
[-52.67729351]
[-52.67729351]
[-180.88508447]
[-139.03390465]
[-39.40320804]
[-73.83778776]
[-52.67729351]
[-52.67729351]
[5.14684893]
[-89.33006054]
[-52.67729351]
[-186.08349726]
[-94.52847333]
[-186.08349726]
[-94.52847333]
[-84.34876147]
[-57.87570631]
[-52.67729351]
[104.77754554]
[-52.67729351]
[-36.70433089]
[-57.6262826]
[-37.18502073]
[-69.10591239]
[-170.59122447]
[-0.05156387]
[-57.87570631]
[-47.47888072]
[43.85902948]
[-73.83778776]
[-128.74004465]
[-110.71854968]
[-52.67729351]
[-52.67729351]
[-148.48350296]
[-69.10591239]
[-59.84446991]
[1.52715982]
[-37.34379451]
[-180.88508447]
[-110.71854968]
[-37.18502073]
[-133.93845744]
[-114.9697352]
[-18.07305884]
[-57.87570631]
[-73.83778776]
[-78.31696817]
[-52.89440724]
[-52.67729351]
[-149.43073023]
[-73.83778776]
[-81.25438786]
[20.63912171]
[-94.52847333]
[-0.05156387]
[-52.67729351]
[30.74189794]
[-57.87570631]
[-52.89440724]
[67.64408867]
[120.26981832]
[-42.38343352]
[-91.60658779]
[104.77754554]
[-75.89720128]
[-186.08349726]
[-7.93797263]
[-84.13164775]
[13.22252161]
[7.20626245]
[-37.18502073]
[-94.52847333]
[-23.43024542]
[-42.38343352]
[-57.87570631]
[-37.18502073]
[-42.38343352]
[-52.67729351]
[-57.87570631]
[-37.18502073]
[-91.60658779]
[-186.08349726]
[-52.67729351]
[-42.38343352]
[-165.39281168]
[-19.16352575]
[-128.74004465]
[-94.52847333]
[-52.67729351]
[-91.60658779]
[52.15181589]
[-149.43073023]
[-52.67729351]
[-91.60658779]
[-31.5059181]
[-89.33006054]
[-94.52847333]
[-42.38343352]
[-128.74004465]
[-81.25438786]
[-37.18502073]
[-42.38343352]
[-94.52847333]
[-57.87570631]
[13.22252161]
[-109.77132241]
[-100.5711478]
[-91.38947407]
[41.7549903]
[-57.87570631]
[-94.52847333]
[-57.87570631]
[10.30063607]
[-37.18502073]
[10.30063607]
[-89.33006054]
[-52.89440724]
[-81.25438786]
[-52.67729351]
[-37.18502073]
[99.57913274]
[-73.11855538]
[13.22252161]
[-89.33006054]
[-73.83778776]
[-44.60162083]
[-94.52847333]
[-36.70433089]
[-81.25438786]
