[-262.26231475]
[-274.87829161]
[-257.93984969]
[-247.84150826]
[-262.05567004]
[-268.25736675]
[-216.2469415]
[-287.15341207]
[-259.59665421]
[-277.33730744]
[-268.25736675]
[-260.94636664]
[-252.11370837]
[-252.11370837]
[-264.1415464]
[-251.37754444]
[-277.33730744]
[-276.60114351]
[-252.11370837]
[-286.41724814]
[-274.87829161]
